notation	description	uri
AP 12500 - AP 12910	Nachschlagewerke, Allgemeine Darstellungen	https://th-wildau.de/rvk-short/AP12500-AP12910
AP 13000 - AP 13400	Biografien, Geschichte	https://th-wildau.de/rvk-short/AP13000-AP13400
AP 13500 - AP 13950	Theorie und Methodik	https://th-wildau.de/rvk-short/AP13500-AP13950
AP 14000 - AP 14450	Beziehungen, Ausstrahlungen, Einwirkungen	https://th-wildau.de/rvk-short/AP14000-AP14450
AP 14500 - AP 14950	Mittel der Kommunikation	https://th-wildau.de/rvk-short/AP14500-AP14950
AP 15000 - AP 15860	Formen der Kommunikation und des Kommunikationsdesigns	https://th-wildau.de/rvk-short/AP15000-AP15860
AP 15900 - AP 15999	Computerunterstützte Kommunikation	https://th-wildau.de/rvk-short/AP15900-AP15999
AP 16000 - AP 16400	Aussagefunktion und Aussagegestaltung	https://th-wildau.de/rvk-short/AP16000-AP16400
AP 16500 - AP 16700	Publizistische Umfragetechnik	https://th-wildau.de/rvk-short/AP16500-AP16700
AP 16800 - AP 16900	Publizistische Beeinflussung	https://th-wildau.de/rvk-short/AP16800-AP16900
AP 17000 - AP 17120	Publikum, Empfänger	https://th-wildau.de/rvk-short/AP17000-AP17120
AP 17200 - AP 17580	Werbung, Propaganda	https://th-wildau.de/rvk-short/AP17200-AP17580
AP 17600 - AP 17780	Wirtschaft, Kosten	https://th-wildau.de/rvk-short/AP17600-AP17780
AP 17800 - AP 17960	Nachrichtenwesen	https://th-wildau.de/rvk-short/AP17800-AP17960
AP 18000 - AP 18600	Arten des Nachrichtenwesens, Medientechnik	https://th-wildau.de/rvk-short/AP18000-AP18600
AP 18800	Recht	https://th-wildau.de/rvk-short/AP18800
AP 19000 - AP 19990	Kommunikation und Medienwesen in einzelnen Ländern	https://th-wildau.de/rvk-short/AP19000-AP19990
AP 20000 - AP 29800	Zeitungswissenschaft	https://th-wildau.de/rvk-short/AP20000-AP29800
AP 30000 - AP 39900	Rundfunk (Hörfunk und Fernsehen)	https://th-wildau.de/rvk-short/AP30000-AP39900
AP 40000 - AP 59900	Film	https://th-wildau.de/rvk-short/AP40000-AP59900
AP 60000 - AP 79900	Theater	https://th-wildau.de/rvk-short/AP60000-AP79900
AP 80000 - AP 88460	Tanz	https://th-wildau.de/rvk-short/AP80000-AP88460
AP 88500 - AP 89999	Comics und Comicforschung	https://th-wildau.de/rvk-short/AP88500-AP89999
AP 90000 - AP 99099	Fotografie	https://th-wildau.de/rvk-short/AP90000-AP99099
AP 99500 - AP 99920	Spiel und Freizeit	https://th-wildau.de/rvk-short/AP99500-AP99920
AR	Naturschutz und Umweltschutz	https://th-wildau.de/rvk-short/AR
AR 10000 - AR 11700	Bibliografien, Sammelschriften	https://th-wildau.de/rvk-short/AR10000-AR11700
AR 11800 - AR 11950	Umweltorganisationen, Bildungseinrichtungen	https://th-wildau.de/rvk-short/AR11800-AR11950
AR 12000 - AR 12350	Nachschlagewerke, Allgemeine Darstellungen	https://th-wildau.de/rvk-short/AR12000-AR12350
AR 12400 - AR 12470	Umweltforschung	https://th-wildau.de/rvk-short/AR12400-AR12470
AR 12500 - AR 12610	Biografien, Geschichte	https://th-wildau.de/rvk-short/AR12500-AR12610
AR 12700 - AR 13999	Natur- und Landschaftsschutz, Landschaftspflege	https://th-wildau.de/rvk-short/AR12700-AR13999
AR 14000 - AR 14900	Umweltschutz, Umweltprobleme	https://th-wildau.de/rvk-short/AR14000-AR14900
AR 15000 - AR 15100	Bevölkerung	https://th-wildau.de/rvk-short/AR15000-AR15100
AR 16000 - AR 16100	Umwelt und Gesundheit	https://th-wildau.de/rvk-short/AR16000-AR16100
AR 17000 - AR 17300	Umwelt und Arbeit	https://th-wildau.de/rvk-short/AR17000-AR17300
AR 18000 - AR 18600	Boden	https://th-wildau.de/rvk-short/AR18000-AR18600
AR 19000 - AR 19620	Ernährung	https://th-wildau.de/rvk-short/AR19000-AR19620
AR 20000 - AR 20800	Pflanzenschutz	https://th-wildau.de/rvk-short/AR20000-AR20800
AR 21000 - AR 21900	Abfall	https://th-wildau.de/rvk-short/AR21000-AR21900
AR 22000 - AR 22700	Wasser	https://th-wildau.de/rvk-short/AR22000-AR22700
AR 23000 - AR 23900	Luft	https://th-wildau.de/rvk-short/AR23000-AR23900
AR 24000 - AR 24900	Lärm	https://th-wildau.de/rvk-short/AR24000-AR24900
AR 25000 - AR 25740	Chemische und physikalische Umwelteinflüsse	https://th-wildau.de/rvk-short/AR25000-AR25740
AR 26000 - AR 26640	Rohstoffe, Energie, Technik	https://th-wildau.de/rvk-short/AR26000-AR26640
AR 27000 - AR 27920	Raumordnung, Städtebau, Verkehr	https://th-wildau.de/rvk-short/AR27000-AR27920
AR 28000 - AR 28950	Umweltpolitik, Wirtschaft und Umwelt	https://th-wildau.de/rvk-short/AR28000-AR28950
AR 29000 - AR 29760	Umweltrecht	https://th-wildau.de/rvk-short/AR29000-AR29760
AR 30000 - AR 39900	Umweltschutz in einzelnen Ländern	https://th-wildau.de/rvk-short/AR30000-AR39900
AV	Sammelwerke aus verschiedenen Gebieten, Serien	https://th-wildau.de/rvk-short/AV
AV 10000	Fest- und Gedenkschriften verschiedenen Inhalts für Personen	https://th-wildau.de/rvk-short/AV10000
AV 10100	Fest- und Gedenkschriften verschiedenen Inhalts für Institutionen	https://th-wildau.de/rvk-short/AV10100
AV 11000	Sammelschriften verschiedenen Inhalts	https://th-wildau.de/rvk-short/AV11000
AV 13000	Sammlungen von Reden und Vorträgen	https://th-wildau.de/rvk-short/AV13000
AV 14000	Briefsammlungen	https://th-wildau.de/rvk-short/AV14000
AV 15000	Allgemeine Anthologien	https://th-wildau.de/rvk-short/AV15000
AV 18000	Almanache von Verlagen (Indiv.-Sign.) (CSN)	https://th-wildau.de/rvk-short/AV18000
AV 20000	Schriftenreihen verschiedenen Inhalts (alph., Indiv.-Sign.)	https://th-wildau.de/rvk-short/AV20000
AV 40000	Universitäts- und Hochschulserien mit allgemein wissenschaftlichem Inhalt	https://th-wildau.de/rvk-short/AV40000
AV 60000	Schulschriften Deutschland (Ortsalphabet)	https://th-wildau.de/rvk-short/AV60000
AV 70000 - AV 79900	Schulschriften Ausland	https://th-wildau.de/rvk-short/AV70000-AV79900
AV 80000	Verlegerserien (alph., Indiv.-Sign.)	https://th-wildau.de/rvk-short/AV80000
AV 90000	Serien von Taschenbüchern (alph., Indiv.-Sign.)	https://th-wildau.de/rvk-short/AV90000
AW	Parlamentsschriften	https://th-wildau.de/rvk-short/AW
AW 01000	Schriften internationaler Gremien	https://th-wildau.de/rvk-short/AW01000
AW 06000	Europa	https://th-wildau.de/rvk-short/AW06000
AW 60000	Asien, Orient, Östliche Welt	https://th-wildau.de/rvk-short/AW60000
AW 70000	Afrika	https://th-wildau.de/rvk-short/AW70000
AW 80000	Amerika, Indianische Welt	https://th-wildau.de/rvk-short/AW80000
AW 90000	Ozeanien	https://th-wildau.de/rvk-short/AW90000
AW 98000	Arktis	https://th-wildau.de/rvk-short/AW98000
AW 99000	Antarktis	https://th-wildau.de/rvk-short/AW99000
AX	Akademieserien, Periodika wissenschaftlicher Gesellschaften mit Akademiecharakter	https://th-wildau.de/rvk-short/AX
AX 09000	Internationale Union der Akademien	https://th-wildau.de/rvk-short/AX09000
AX 10000 - AX 19000	Deutschland	https://th-wildau.de/rvk-short/AX10000-AX19000
AX 20000 - AX 99000	Übrige Länder	https://th-wildau.de/rvk-short/AX20000-AX99000
AZ 10000	Allgemeine und fachübergreifende Zeitschriften, Zeitungen	https://th-wildau.de/rvk-short/AZ10000
B	Theologie und Religionswissenschaften	https://th-wildau.de/rvk-short/B
BA 1000	Zeitschriften und Jahrbücher	https://th-wildau.de/rvk-short/BA1000
BB	Allgemeines zur Theologie	https://th-wildau.de/rvk-short/BB
BB 1000 - BB 1270	Lexika	https://th-wildau.de/rvk-short/BB1000-BB1270
BB 1280 - BB 1290	Hilfsmittel	https://th-wildau.de/rvk-short/BB1280-BB1290
BB 1300 - BB 1340	Bibliografien	https://th-wildau.de/rvk-short/BB1300-BB1340
BB 1400 - BB 1490	Biografisch-bibliografische Nachschlagewerke	https://th-wildau.de/rvk-short/BB1400-BB1490
BB 1550 - BB 1790	Einführung in die Theologie	https://th-wildau.de/rvk-short/BB1550-BB1790
BB 1800 - BB 1844	Theologiegeschichte	https://th-wildau.de/rvk-short/BB1800-BB1844
BB 1850 - BB 9000	Sammelwerke	https://th-wildau.de/rvk-short/BB1850-BB9000
BC	Bibelwissenschaft	https://th-wildau.de/rvk-short/BC
BC 1000 - BC 1230	Biblische Sprachen und allgemeine Hilfsmittel zum Bibelstudium	https://th-wildau.de/rvk-short/BC1000-BC1230
BC 1400 - BC 5100	Bibeltexte, Bibelkommentare und Abhandlungen	https://th-wildau.de/rvk-short/BC1400-BC5100
BC 6000 - BC 6260	Biblische Einleitung	https://th-wildau.de/rvk-short/BC6000-BC6260
BC 6500 - BC 7940	Biblische Theologie	https://th-wildau.de/rvk-short/BC6500-BC7940
BC 8000 - BC 8519	Die orientalische Umwelt der Bibel	https://th-wildau.de/rvk-short/BC8000-BC8519
BC 8700 - BC 8930	Israel und das biblische Palästina	https://th-wildau.de/rvk-short/BC8700-BC8930
BD	Judaistik	https://th-wildau.de/rvk-short/BD
BD 1000 - BD 1895	Allgemeines	https://th-wildau.de/rvk-short/BD1000-BD1895
BD 2000 - BD 9560	Religions- und Kulturgeschichte der Juden	https://th-wildau.de/rvk-short/BD2000-BD9560
BE	Religionswissenschaft	https://th-wildau.de/rvk-short/BE
BE 1000 - BE 1800	Allgemeines	https://th-wildau.de/rvk-short/BE1000-BE1800
BE 2000 - BE 3700	Systematische Religionswissenschaft (auch: Religionsphänomenologie)	https://th-wildau.de/rvk-short/BE2000-BE3700
BE 4000 - BE 9250	Religionsgeschichte	https://th-wildau.de/rvk-short/BE4000-BE9250
BF	Philosophie	https://th-wildau.de/rvk-short/BF
BF 1000 - BF 1360	Allgemeines	https://th-wildau.de/rvk-short/BF1000-BF1360
BF 1400 - BF 1950	Philosophiegeschichte	https://th-wildau.de/rvk-short/BF1400-BF1950
BF 1980 - BF 7990	Quellen zur Philosophiegeschichte	https://th-wildau.de/rvk-short/BF1980-BF7990
BF 8000 - BF 9200	Systematische Philosophie	https://th-wildau.de/rvk-short/BF8000-BF9200
BG	Fundamentaltheologie	https://th-wildau.de/rvk-short/BG
BG 1020 - BG 1950	Allgemeines	https://th-wildau.de/rvk-short/BG1020-BG1950
BG 2000 - BG 2980	Hermeneutik, Wissenschaftstheorie und Methodenlehre	https://th-wildau.de/rvk-short/BG2000-BG2980
BG 3000 - BG 3505	Atheismus	https://th-wildau.de/rvk-short/BG3000-BG3505
BG 3540 - BG 4210	Theologie und Naturwissenschaft	https://th-wildau.de/rvk-short/BG3540-BG4210
BG 4750 - BG 6640	Glaube	https://th-wildau.de/rvk-short/BG4750-BG6640
BG 6670 - BG 7870	Offenbarung	https://th-wildau.de/rvk-short/BG6670-BG7870
BG 8000 - BG 8830	Überlieferung und Tradition	https://th-wildau.de/rvk-short/BG8000-BG8830
BG 9000 - BG 9019	Konfessionskunde, Symbolik	https://th-wildau.de/rvk-short/BG9000-BG9019
BG 9020 - BG 9790	Kirche und Kirchen	https://th-wildau.de/rvk-short/BG9020-BG9790
BG 9800 - BG 9990	Ökumenische Bewegung	https://th-wildau.de/rvk-short/BG9800-BG9990
BH	Evangelische Dogmatik	https://th-wildau.de/rvk-short/BH
BH 1000 - BH 2890	Allgemeines	https://th-wildau.de/rvk-short/BH1000-BH2890
BH 3000 - BH 8300	Spezielle Dogmatik	https://th-wildau.de/rvk-short/BH3000-BH8300
BK	Theologische Ethik/Moraltheologie	https://th-wildau.de/rvk-short/BK
BK 1000 - BK 1200	Allgemeines	https://th-wildau.de/rvk-short/BK1000-BK1200
BK 1250 - BK 1458	Gesamtdarstellungen	https://th-wildau.de/rvk-short/BK1250-BK1458
BK 1460 - BK 1470	Gegenwartsprobleme der Moraltheologie	https://th-wildau.de/rvk-short/BK1460-BK1470
BK 1500 - BK 1520	Einführung in die Moraltheologie/Theologische Ethik	https://th-wildau.de/rvk-short/BK1500-BK1520
BK 1540 - BK 1550	Moralphilosophie/Philosophische Ethik	https://th-wildau.de/rvk-short/BK1540-BK1550
BK 1570	Metaethik	https://th-wildau.de/rvk-short/BK1570
BK 1580	Ethik und Ethos	https://th-wildau.de/rvk-short/BK1580
BK 1600 - BK 1950	Sammelwerke	https://th-wildau.de/rvk-short/BK1600-BK1950
BK 2000 - BK 2400	Allgemeine Moraltheologie/Ethische Grundbegriffe	https://th-wildau.de/rvk-short/BK2000-BK2400
