notation	description
BP 6800 - BP 6900	Evangelisch-Lutherische Kirche
BP 7000 - BP 7300	Evangelisch-Reformierte Kirche
BP 7400 - BP 7430	Unionskirchen
BP 7500 - BP 7790	Freikirchen und Sondergruppen
BP 8000 - BP 8200	Anglikanische Kirche
BP 8500 - BP 8840	Geschichte der Ökumenischen Bewegung
BP 9000 - BP 9020	Übrige Kirchen und Religionsgemeinschaften
BP 9500 - BP 9700	Kirche und Gesellschaft
BQ	Evangelische Praktische Theologie
BQ 1000 - BQ 1350	Allgemeines
BQ 1500 - BQ 1820	Pastoraltheologie, kirchliche Ämter
BQ 2000 - BQ 2950	Gemeindeaufbau, Gemeindeleitung, Kirche
BQ 3000 - BQ 3830	Homiletik
BQ 4000 - BQ 4980	Liturgik
BQ 5000 - BQ 5480	Amtshandlungen
BQ 5500 - BQ 6180	Seelsorge
BQ 6500 - BQ 6710	Spiritualität
BQ 7000 - BQ 7800	Katechetik, Religionspädagogik, Gemeindepädagogik
BQ 8000 - BQ 8495	Diakonie
BQ 8500 - BQ 8840	Ökumene
BQ 9000 - BQ 9530	Missionswissenschaft
BR	Kirchenrecht
BR 1000 - BR 1990	Allgemeines
BR 2000 - BR 2900	Kirchliche Rechtsquellen
BR 3000 - BR 3800	Kirchliche Rechtsgeschichte
BR 4000 - BR 6690	Sonderdarstellungen zum Kirchenrecht
BR 7000 - BR 7150	Evangelisches Kirchenrecht
BR 7200 - BR 7400	Weiteres christliches Kirchenrecht
BR 7500 - BR 7600	Nichtchristliches Religionsrecht
BR 8000 - BR 8400	Staat und Kirche
BR 8500 - BR 8600	Römisches Recht
BR 8700 - BR 8950	Staatliches Recht
BS	Liturgiewissenschaft
BS 1000 - BS 1250	Allgemeines
BS 1300 - BS 1490	Theologische Grundfragen
BS 1500 - BS 1980	Allgemeine Liturgiegeschichte
BS 2000 - BS 4980	Spezielle Liturgik
BS 5000 - BS 5080	Nichtchristliche Kulte
BS 5100 - BS 5170	Jüdischer Gottesdienst
BS 5200 - BS 5850	Orientalische Liturgien
BS 6000 - BS 6575	Lateinische Liturgien
BS 6600 - BS 6990	Reformatorische Liturgien
BS 7000 - BS 7450	Pastoralliturgische Fragen
BT	Pastoraltheologie und Missionswissenschaft
BT 1000 - BT 1250	Allgemeines
BT 1300 - BT 1450	Quellen und Gesamtdarstellungen zur Pastoraltheologie
BT 1500 - BT 1940	Sammelwerke zur Pastoraltheologie
BT 1950 - BT 1980	Einzeldarstellungen zur Pastoraltheologie unter verschiedenen Bedingungen
BT 2000 - BT 4000	Einzeldarstellungen zur Pastoraltheologie
BT 5000 - BT 5450	Psychologie als Hilfswissenschaft der Pastoraltheologie
BT 7000 - BT 7530	Missionswissenschaft
BU	Religionspädagogik und Katechetik
BU 1000 - BU 1250	Allgemeines
BU 1300 - BU 1340	Quellen und Klassiker
BU 1410 - BU 1430	Neuere systematische Werke
BU 1500 - BU 1560	Werke zur Geschichte der Erziehungswissenschaft, Religionspädagogik und Katechetik
BU 1600 - BU 1600	Biografien und Monografien
BU 1700 - BU 1720	Tatsachenforschung
BU 1810 - BU 1860	Vergleichende Erziehungswissenschaft, Religionspädagogik und Katechetik
BU 2100 - BU 3300	Erziehung, Religionsunterricht und Katechese Heranwachsender
BU 3500 - BU 3800	Erwachsenenbildung
BU 4000 - BU 5700	Aufgaben und Inhalte der religiösen und christlichen Bildung und Erziehung
BU 6100 - BU 6500	Didaktik und Methodik von Religionsunterricht und Katechese
BU 7000 - BU 7250	Träger und Medien der Erziehung und Bildung, des Religionsunterrichts und der Katechese
BU 8100 - BU 8700	Menschen als Adressaten und Partner von Erziehung, Unterweisung und Katechese
BV	Homiletik
BV 1100 - BV 1400	Allgemeines
BV 1500 - BV 1950	Quellen und Geschichte der Predigt und Homiletik
BV 2000 - BV 2900	Predigtforschung und Predigtvergleich
BV 3000 - BV 3300	Prinzipielle Homiletik
BV 4000 - BV 4000	Materielle Homiletik
BV 4100 - BV 8600	Die Gegenstände der Predigt
BV 9000 - BV 9450	Grundlagen, Nachbargebiete und Grenzfragen der Homiletik
BW	Evangelische Theologie
BW 10000 - BW 10200	Allgemeines
BW 11000 - BW 46000	Evangelische Theologiegeschichte
BW 50000 - BW 63600	Evangelische Theologie der Gegenwart
CA - CK	Philosophie
CA 1000	Zeitschriften und Reihenwerke
CB	Allgemeines
CB 1200 - CB 1600	Bibliografien
CB 3500 - CB 4450	Lexika, Nachschlagewerke, Enzyklopädien, Gesammelte Abhandlungen
CB 4500 - CB 4900	Organisation und Pflege des Faches
CB 5100 - CB 5150	Varia
CB 5170	Philosophische Praxis
CC	Systematische Philosophie
CC 1000	Versuche zur Grundlegung der Philosophie, Gesamtsysteme
CC 1100	Untersuchungen zur Philosophie
CC 1200	Geschichte und Untersuchungen philosophischer Methoden
CC 2000 - CC 2600	Logik
CC 3000 - CC 3300	Allgemeine Wissenschaftstheorie
CC 3400 - CC 3900	Spezielle Wissenschaftstheorie
CC 4000 - CC 4500	Erkenntnistheorie
CC 4600 - CC 4800	Sprachphilosophie
CC 4900 - CC 5100	Analytische Philosophie
CC 5200	Philosophische Kybernetik
CC 5300 - CC 5680	Philosophie des Geistes
CC 5800 - CC 6020	Ontologie und Metaphysik
CC 6100 - CC 6350	Naturphilosophie
CC 6400 - CC 6600	Philosophische Anthropologie
CC 6700 - CC 6900	Ästhetik und Kunstphilosophie
CC 6950 - CC 6960	Handlungstheorie
