notation	description
WN 1750	Beziehungen zwischen den physiologischen Außenbedingungen und der Zellaktivität
WN 1800	Wachstum der Zelle
WN 1850	Aktivitätswechsel. Ruhe und Aktivität
WN 1900	Altern und Tod
WN 1950	Ökophysiologie, Physiologie der Umweltbeanspruchung, Environmental stresses, Temperatur, Trockenheit, Kälte
WN 2000 - WN 2950	Pflanzen und Wasser
WN 3000 - WN 4980	Stoffwechsel und Ernährung
WN 5000 - WN 7850	Physiologie des Wachstums und Formwechsels, Entwicklungsphysiologie
WN 8040 - WN 8400	Spezielle Pflanzenphysiologie einzelner Groß-Taxa
WN 8500	Angewandte Pflanzenphysiologie
WN 8505	Alternativer Land- und Gartenbau
WN 8510 - WN 8970	Pflanzenbau und Ernährungsphysiologie der Kulturpflanzen
WN 9000 - WN 9980	Physiologische Pflanzenpathologie allgemein
WP - WS	Spezielle (taxonomische) Zoologie
WP 1000	Lehrbücher der speziellen Zoologie (z.B. Kästner)
WP 1003	Lexika, Nachschlagewerke
WP 1004	Tierbücher und systematische Zoologie des 16. - 18. Jahrhunderts in Neudrucken.
WP 1005	Grundlagen der Taxonomie
WP 1007	Chemotaxonomie
WP 1008	Nomenklatur und zoologische Taxonomie
WP 1010 - WP 1013	Zusammenfassung nach Klimazonen
WP 1017 - WP 1027	Zusammenfassung nach Biotopen
WP 1030	Tierbeobachtungen, Tierfotografie
WP 1038	Volkskundliche Zoologie
WP 1070	Populäre Tierbücher und Bildbände
WP 1075	Wirtschaftliche Bedeutung, Nutzen, Schaden, Gifttiere
WP 1077	Saprobionten
WP 1080 - WP 1087	Tierschutz
WP 1093	Serien und Fortschrittsberichte zum Gesamtgebiet der Wirbellosen (Protozoa und Metazoa)
WP 1100 - WP 1299	Regional begrenzte Abhandlungen zur Fauna insgesamt. Bestimmungsbücher bestimmter Gebiete
WP 1300 - WP 1990	Protozoen
WP 1999	Evertebrata: Protozoa und Metazoa (Wirbellose)
WP 2000 - WP 2900	Metazoa (Vielzeller)
WP 3000 - WP 4900	Eumetazoa
WP 5000 - WS 9950	Bilateria (Bilateralsymmetrische Tiere)
WT	Verhaltensforschung und Tierpsychologie
WT 1000	Verhaltensforschung (Ethologie) allgemein
WT 1100	Kongresse und Symposia
WT 1200	Serien und Fortschrittsberichte
WT 1300	Populärwissenschaftliche Darstellungen
WT 1500	Verhalten von Meerestieren
WT 1700	Verhalten von Süßwassertieren
WT 2000 - WT 2039	Verhalten einzelner Tiergruppen
WT 2050	Verhaltensinventare, Aktionskataloge (insbesondere Inventare, die durch elektrophysiologische Hirnreizungen erstellt wurden)
WT 2100 - WT 2139	Instinktlehre, Instinktives Verhalten, Trieb, Appetenzverhalten auslösende Mechanismen usw.
WT 2200 - WT 2239	Ritualisierung
WT 2300	Normalverhalten, allgemeine Bewegungsformen, Verhalten in freier Natur, Spurenkunde
WT 2400 - WT 2439	Abweichendes Verhalten, Verhalten unter Stress, Stereotypes Verhalten
WT 2500 - WT 2539	Orientierungsverhalten, Erkundungsverhalten, Reaktionen auf Sinneswahrnehmungen
WT 2600 - WT 2639	Komfortbewegungen (Sichkratzen, Sichlecken)
WT 2700 - WT 2739	Stoffwechselbedingtes Verhalten
WT 2750 - WT 2789	Nahrungserwerb, Beutefang
WT 2800 - WT 2839	Ruhe und Schlaf
WT 2850 - WT 2889	Defäkation (Stuhlentleerung)
WT 3100 - WT 3139	Aggression und Kampfverhalten
WT 3200 - WT 3260	Fortpflanzungsverhalten (Balz, Brunst, Begattung)
WT 3300 - WT 3339	Geburt, Brutpflege usw.
WT 3400 - WT 3439	Territorialverhalten
WT 3500 - WT 3539	Tierwanderungen
WT 3600	Sozialverhalten, Rangordnung, soziale Körperpflege
WT 3700 - WT 3739	Kommunikation, Ausdrucksverhalten, Verständigung
WT 3800 - WT 3839	In Kolonien lebende Tiere, Tiersoziologie
WT 3900 - WT 3939	Tierstaaten, Staatenbildene Tiere
WT 4200 - WT 4239	Bautätigkeiten
WT 4500 - WT 4539	Lautäußerungen (akustisches Verhalten)
WT 5000 - WT 5039	Verhalten in Gefangenschaft (Zootiere, Haustiere usw.)
WT 5200 - WT 5239	Spielverhalten
WT 5300 - WT 5339	Leerlaufreaktionen
WT 5500 - WT 5539	Prägung, Dressur, Gedächtnis, Lernverhalten
WT 5900 - WT 5939	Tradieren erworbener Eigenschaften und Verhaltensinventare
WT 6000 - WT 6039	Verhaltensentwicklung, Ontogenie des Verhaltens
WT 6500 - WT 6539	Genetische Grundlagen des Verhaltens
WT 7000 - WT 7039	Physiologische Grundlagen des Verhaltens
WT 8000 - WT 8039	Ökologische Aspekte der Verhaltensforschung
WT 8600	Ethologie der humanen Kultur
WT 9000	Verhalten unter dem Einfluss von Substanzen
WU	Anthropologie
WU 1000	Anthropologie allgemein
WU 4000 - WU 4199	Spezielle Anthropologie
WW - WX	Anatomie und Physiologie von Mensch und Tier, Vorklinische Medizin
WW	Morphologie, Anatomie und Physiologie allgemein; Anatomie, Physiologie und Biochemie einzelner Organe und Organsysteme von Mensch und Tier
WX	Ernährung, Verdauung, Stoffwechsel, Energiehaushalt, Fortpflanzung, Entwicklungsphysiologie von Mensch und Tier, Angewandte Physiologie
X - Y	Medizin
XA 10000	Medizinische Zeitschriften
XB 0990 - XB 1999	Medizinische Nachschlagewerke
XB 0990	Bibliografische Einführungen, Bibliografien der Bibliografien
XB 1000	Große laufende medizinische Bibliografien und Kataloge
XB 1030 - XB 1043	Sonstige medizinische Bibliografien Gliederung mit Sonderschlüssel Bibliografien
XB 1060	Zeitschriftenbibliografien
XB 1091	Dissertationsverzeichnisse
XB 1093	Bibliografien von Kongressveröffentlichungen
XB 1100 - XB 1113	Retrospektive Bibliografien und Kataloge (Gliederung mit Sonderschlüssel Bibliografien)
XB 1200 - XB 1299	Biobibliografische Nachschlagewerke (+ Schl. 87 ff)
XB 1300	Allgemeine Lexika und Nachschlagewerke
XB 1400	Allgemeine medizinische Terminologie, medizinische Wörterbücher einsprachig, Abkürzungsverzeichnisse
XB 1500 - XB 1599	Terminologie und medizinische Wörterbücher einzelner Fachgebiete (+ Schl. 87 ff)
XB 1600 - XB 1699	Zwei- und mehrsprachige Fachwörterbücher
XB 1700 - XB 1799	Systematiken der Medizin, Krankheitsverzeichnisse, Thesauri
XB 1800 - XB 1899	Medizinische Forschungseinrichtungen, Adressbücher
XB 1900 - XB 1999	Richtlinien für Abfassung medizinischer Literatur, Wissenschaftliches Arbeiten
XB 2000 - XB 6399	Geschichte der Medizin
XB 2000	Internationale periodische Kongresse
XB 2100 - XB 2199	Fest- und Gedenkschriften
XB 2200	Handbücher, Lehrbücher, Gesamtdarstellungen
XB 2210	Gesammelte Werke und Briefwechsel von Medizinhistorikern
XB 2220	Bibliografien zur allgemeinen Geschichte
XB 2230	Geschichte der Medizingeschichtsschreibung
XB 2250	Klassiker der Medizin
XB 2300	Kurzabhandlungen, populäres Schrifttum
XB 2310	Theoretische Grundlagen und Methodik der Medizingeschichtsschreibung
XB 2340	Sammelbiografien
XB 2350	Einzelne Biografien
XB 2380	Einzelne Probleme allgemeiner Art
XB 2390	Geschichte medizinischer Instrumente und Geräte
XB 2395	Geschichte von Geräten der Biomedizintechnik
XB 2400 - XB 3370	Epochen und Kulturkreise
XB 3400 - XB 4578	Regionale Geschichte der Medizin
XB 4600 - XB 6399	Spezielle Geschichte der Medizin, Geschichte einzelner medizin. Disziplinen
XC	Allgemeine Medizin, Krankenhauswesen, Krankenpflege
XC 1000 - XC 1028	Einführende Werke zum Gesamtgebiet (+ Formalschlüssel)
XC 1100	Kongresse
XC 1200	Fest- und Gedenkschriften
XC 1300	Handbücher
XC 1400	Lehrbücher
XC 1500 - XC 1599	Allgemeine Fortschrittsberichte und Serien (CSN des Titels)
XC 1600 - XC 1699	Medizin, Allgemein
XC 2000 - XC 2099	Allgemeine und theoretische Fragen zur gesamten Medizin (Medizin und ihre Grundlagen)
XC 2100 - XC 2199	Medizin in einzelnen Ländern
XC 2200 - XC 2299	Erlebnisberichte von Ärzten, Reisen, Expeditionen usw.
XC 2300 - XC 2399	Allgemeines über Grenzgebiete der Medizin
XC 2400 - XC 2499	Krankheiten berühmter Frauen und Männer, Krankheit und Schicksal (CSN nach Alphabet der Biografierten)
XC 2500 - XC 2999	Medizin und Geisteswissenschaften
XC 3000 - XC 4199	Medizin und Naturwissenschaften
XC 5000 - XC 5299	Krankenhauswesen, Medizinische Forschungseinrichtungen
XC 5300 - XC 5699	Gesundheitspolitik, Wirtschaftlichkeit im Gesundheitswesen. Versicherungsmedizin, Gebührenordnung
XC 5700 - XC 5799	Arztpraxis / Organisation
XC 5900 - XC 5928	Krankenpflege allgemein (+ Formalschlüssel)
XC 6000 - XC 6086	Literatur zu einzelnen Organen und Organsystemen, die nicht einer einzelnen Disziplin zuzuordnen ist (Schlüssel 30-86)
XC 9000 - XC 9099	Populärmedizinisches Schrifttum
XD	Medizinische Mikrobiologie
XD 1000	Kongresse
XD 1100	Fest- und Gedenkschriften
XD 1200	Handbücher
XD 1300	Lehrbücher
XD 1400	Atlanten, Bildwerke
XD 1500	Kompendien, Repetitorien, Kurzdarstellungen
XD 1600 - XD 2499	Allgemeine medizinische Mikrobiologie
XD 2500 - XD 3699	Klinische Immunologie und Serologie
XD 3800 - XD 9899	Spezielle medizinische Mikrobiologie
XE	Hygiene
XE 1000	Kongresse
XE 1100	Fest- und Gedenkschriften
XE 1200	Handbücher
XE 1300	Lehrbücher
XE 1400 - XE 1799	Hygiene
XE 2800 - XE 5699	Gesundheitsfürsorge insgesamt
XE 5700 - XE 6099	Touristikmedizin, Tropenmedizin
XE 6100 - XE 6199	Arbeitshygiene
XE 6200 - XE 7299	Arbeitsmedizin, insgesamt
XE 7500 - XE 9799	Berufskrankheiten
XF	Öffentliches Gesundheitswesen
XF 1000 - XF 1028	Allgemeines (+ Formalschlüssel)
XF 1100 - XF 1199	Organisation des Gesundheitswesens (Staatliche Kontrollen usw.)
XF 1200	Medizinische Ausbildung insgesamt (Medizinstudium)  Arztberuf, Berufsstand
XF 1210 - XF 1277	Medizinische Ausbildung
XF 1300 - XF 1399	Medizinische Ausbildung für Heilberufe (z.B. Arzthelferin, Pflegepersonal, Heilpraktiker, Masseur)
XF 1400 - XF 1499	Approbationsordnung
XF 1500 - XF 2499	Sozialmedizin, Präventivmedizin, insgesamt
XF 2900 - XF 3299	Medizinisches Gutachten
XF 3300 - XF 3899	Medizinische Statistik
XF 4100 - XF 4599	Epidemiologie
XG	Pathologie
XG 1000	Kongresse
XG 1100	Handbücher
XG 1200	Lehrbücher
XG 1300	Atlanten, Bildwerke
XG 1400	Kompendien, Repetitorien, Kurzdarstellungen
XG 1500 - XG 4999	Allgemeine Pathologie und pathologische Anatomie
XG 5700 - XG 9428	Spezielle Pathologie und pathologische Anatomie, Spezielle pathologische Histologie und Teratologie
XH	Onkologie
XH 1000	Kongresse
XH 1100	Handbücher
XH 1200	Lehrbücher
XH 1300	Atlanten, Bildwerke
XH 1400	Kompendien, Repetitorien, Kurzdarstellungen
XH 1500 - XH 5499	Allgemeine Onkologie
XH 5500 - XH 9228	Spezielle Onkologie
XI	Pharmakologie und Toxikologie
XI 1000	Kongresse
XI 1100	Handbücher
XI 1200	Lehrbücher
XI 1300	Kompendien, Repetitorien, Kurzdarstellungen
XI 1400 - XI 2399	Allgemeine Pharmakologie
XI 2400 - XI 2899	Allgemeine Toxikologie
XI 2900 - XI 9099	Spezielle Pharmakologie und Toxikologie
XL	Rechtsmedizin
XL 1000	Kongresse
XL 1100	Fest- und Gedenkschriften
XL 1200	Handbücher
XL 1300	Lehrbücher
XL 1350	Kompendien, Repetitorien, Kurzdarstellungen
XL 1400 - XL 6099	Allgemeine Rechtsmedizin
XL 6900 - XL 6999	Spezielle Rechtsmedizin / Allgemeines (+ Schl.)
XL 8000 - XL 8299	Medizinische Kriminologie
XL 9000 - XL 9099	Medizinische Kriminaltechnik
XL 9200 - XL 9299	Medizinische Gesetze und Verordnungen, Arztrecht, Berufs- und Standesrecht
XL 9300	Medizingeräteverordnung, Medizinproduktegesetz
XX	Tiermedizin
XX 1000	Kongresse
XX 1100	Hand- und Lehrbücher, einführende Werke
XX 1300 - XX 1399	Allgemeines
XX 1400 - XX 1499	Pathologische Anatomie und allgemeine Tierpathologie
XX 2000 - XX 2099	Klinische Biochemie und Pathophysiologie
XX 2500 - XX 2599	Labormedizin
XX 3000 - XX 3099	Mikrobiologie, Parasitologie
XX 4000 - XX 4999	Tierkrankheiten; Spezielle Pathologie und Therapie
XX 5000 - XX 5099	Tierseuchen, Hygiene
XX 6000 - XX 6099	Anästhesie, Chirurgie
XX 7000 - XX 7099	Gynäkologie, Geburtshilfe
XX 7500 - XX 7599	Allgemeine Therapie, Arzneiverordnung, Pharmakologie, Toxikologie
XX 8000 - XX 8099	Tierhaltung
XX 9000 - XX 9099	Tierärztliche Lebensmittelüberwachung, Schlachthof, Gerichtliche Tiermedizin, Gesetze
YB - YC	Innere Medizin
YB 1000 - YB 1400	Formalgruppen
YB 1500 - YB 5399	Allgemeine Innere Medizin
YB 5400 - YC 9599	Spezielle Innere Medizin
YD - YE	Infektionskrankheiten
YD 1000	Kongresse
YD 1100	Fest- und Gedenkschriften
YD 1200	Handbücher
YD 1300	Lehrbücher
YD 1400 - YD 1999	Infektiöse und parasitäre Krankheiten
YD 2000 - YD 4599	Bakterielle Infektionen
YD 5100 - YD 5899	Mykosen
YD 6100 - YD 8699	Viruskrankheiten
YD 9100 - YD 9699	Protozoonosen
YD 9700 - YD 9999	Parasitäre Krankheiten
YE	Tuberkulose
YF	Dermatologie und Venerologie
YF 1000	Kongresse
YF 1100	Fest- und Gedenkschriften
YF 1200	Handbücher
YF 1300	Lehrbücher
YF 1400	Atlanten, Bildwerke
YF 1500	Kompendien, Repetitorien, Kurzdarstellungen
YF 1600 - YF 2499	Allgemeine Dermatologie
YF 2500 - YF 4986	Spezielle Dermatologie
YF 5000 - YF 5499	Allgemeine Venerologie, Geschlechtskrankheiten (Sexuell übertragbare Krankheiten s. YD 1850)
YF 5600 - YF 6799	Spezielle Venerologie
YG	Neurologie
YG 1000	Kongresse
YG 1100	Fest- und Gedenkschriften
YG 1200	Handbücher
YG 1300	Lehrbücher
YG 1400	Atlanten, Bildwerke
YG 1500	Kompendien, Repetitorien, Kurzdarstellungen
YG 1600 - YG 4299	Allgemeine Neurologie
YG 4300 - YG 5399	Krankheiten des Gehirns und der Hirnhäute
YG 5500 - YG 5599	Extrapyramidale Syndrome: Hyperkinese, Chorea, Huntington-Chorea, Ballistismus, Athetosis, Dystonie, Torsiondystonie, Myoklonus, Tic, Parkinson-Krankheit
YG 6000 - YG 6099	Multiple Sklerose: Disseminierte Sklerose, Polysklerose
YG 6100 - YG 6199	Anfallsleiden: Epilepsie, Absence, Narkolepsie, Jackson-Anfall
YG 6200 - YG 6299	Myopathien (Muskelkrankheiten): Muskeldystrophie, Myotonie, Myasthenia gravis, Myotonia congenita (angeborene Muskeldefekte)
YG 6300 - YG 6399	Krankheiten des Rückenmarks:
YG 6900 - YG 6999	Krankheiten des vegetativen Nervensystems: Schmerz, Kausalgie, Kopfschmerz, Migräne
YG 7400 - YG 7499	Krankheiten des peripheren Nervensystems: Nervenentzündung (Neuritis), Hirnnerven, Neuralgie, Ischias, Gürtelrose (Herpes zoster), polyneuritische Krankheitsbilder, Polyneuropathie
YH	Psychiatrie, Medizinische Psychologie
YH 1000	Kongresse
YH 1100	Fest- und Gedenkschriften
YH 1200	Handbücher
YH 1300	Lehrbücher
YH 1400	Kompendien, Repetitorien, Kurzdarstellungen
YH 1500 - YH 2699	Allgemeine Psychiatrie/Medizinische Psychologie
YH 2700 - YH 3099	Psychohygiene (Psychische Hygiene)
YH 3100 - YH 3199	Umweltpsychologie
YH 3200 - YH 3299	Sexualmedizin, Sexualwissenschaft
YH 3400 - YH 3499	Psychiatrie und ihre Beziehungen zu Nachbardisziplinen (+ Schl. 87 ff)
YH 3600 - YH 4699	Allgemeine medizinische Psychologie, Psychopathologie
YH 4900 - YH 9399	Spezielle Psychiatrie
YI	Chirurgie, Traumatologie, Anästhesie, Plastische Chirurgie, Spezielle Chirurgie
YI 1000	Kongresse
YI 1100	Fest- und Gedenkschriften
YI 1200	Handbücher
YI 1300	Lehrbücher
YI 1400	Atlanten, Bildwerke
YI 1500	Kompendien, Repetitorien, Kurzdarstellungen
YI 1600 - YI 3299	Allgemeine Chirurgie
YI 3300 - YI 4399	Traumatologie
YI 4500 - YI 5999	Anästhesie, Analgesie, Intensivmedizin
YI 6100 - YI 7299	Plastische Chirurgie, Wiederherstellungschirurgie
YI 7400 - YI 8999	Spezielle Chirurgie
YK	Orthopädie, Neurochirurgie, Urologie und Nephrologie
YK 1000 - YK 5699	Orthopädie
YK 5800 - YK 6999	Neurochirurgie
YK 7100 - YK 9799	Urologie und Nephrologie
YM	Gynäkologie und Geburtshilfe
YM 1000	Kongresse
YM 1100	Fest- und Gedenkschriften
YM 1200	Handbücher
YM 1300	Lehrbücher
YM 1400	Atlanten, Bildwerke
YM 1500	Kompendien, Repetitorien, Kurzdarstellungen
YM 1600 - YM 2999	Gynäkologie allgemein
YM 3000 - YM 4799	Spezielle Gynäkologie
YM 5000 - YM 5699	Allgemeine Geburtshilfe
YM 5700 - YM 8599	Spezielle Geburtshilfe
YN	Hals-Nasen-Ohren-Heilkunde
YN 1000	Kongresse
YN 1100	Fest- und Gedenkschriften
YN 1200	Handbücher
YN 1300	Lehrbücher
YN 1400	Atlanten, Bildwerke
YN 1500	Kompendien, Repetitorien, Kurzdarstellungen
YN 1600 - YN 3099	Allgemeine Hals-Nasen-Ohren-Heilkunde
YN 3100 - YN 5299	Spezielle Hals-Nasen-Ohren-Heilkunde
YN 6000 - YN 6699	Phoniatrie - Artikulatorische Phonetik
YO	Augenheilkunde (Ophthalmologie)
YO 1000	Kongresse
YO 1100	Fest- und Gedenkschriften
YO 1200	Handbücher
YO 1300	Lehrbücher
YO 1400	Atlanten, Bildwerke
YO 1500	Kompendien, Repetitorien, Kurzdarstellungen
YO 1600 - YO 4499	Allgemeine Augenheilkunde
YO 7000 - YO 9099	Spezielle Augenheilkunde
YP	Zahnmedizin
YP 1000	Kongresse
YP 1100	Fest- und Gedenkschriften
YP 1200	Handbücher
YP 1300	Lehrbücher
YP 1400	Atlanten, Bildwerke
YP 1500	Kompendien, Repetitorien, Kurzdarstellungen
YP 1600 - YP 2599	Allgemeine Zahnmedizin
YP 2700 - YP 8499	Spezielle Zahnmedizin
YQ	Kinderheilkunde (Pädiatrie)
YQ 1000	Kongresse
YQ 1100	Fest- und Gedenkschriften
YQ 1200	Handbücher
YQ 1300	Lehrbücher
YQ 1400	Kompendien, Repetitorien, Kurzdarstellungen
YQ 1500 - YQ 2699	Allgemeine Kinderheilkunde und Jugendmedizin
YQ 2900 - YQ 9099	Spezielle Kinderheilkunde
YR	Medizinische Radiologie, Nuklearmedizin, bildgebende Verfahren
YR 1000	Kongresse
YR 1100	Fest- und Gedenkschriften
YR 1200	Handbücher
YR 1300	Lehrbücher
YR 1400	Atlanten, Bildwerke
YR 1500	Kompendien, Repetitorien, Kurzdarstellungen
YR 1600 - YR 3799	Allgemeine medizinische Radiologie und Nuklearmedizin, bildgebende Verfahren
YR 4000 - YR 9599	Spezielle medizinische Radiologie, Anwendung von Isotopen, bildgebende Verfahren und Therapie einzelner Organe
YT - YU	Allgemeine Therapie
YT 1000	Kongresse
YT 1100	Fest- und Gedenkschriften
YT 1200	Handbücher
YT 1300	Lehrbücher
YT 1400	Kompendien, Repetitorien, Kurzdarstellungen
YT 1600 - YT 1699	Methodik, therapeutische Apparate, Instrumente, Injektion
YT 1700 - YT 1799	Erste Hilfe, Rettungswesen (Notarzt), Notfallmedizin
YT 1800 - YT 1899	Verband
YT 2000 - YT 7899	Ernährung und Diätetik
YT 8000 - YT 9599	Physikalische Therapie (Physiotherapie)
YU 1000 - YU 1300	Balneologie
YU 1500 - YU 2599	Bluttransfusion und Infusion
YU 3000 - YU 3299	Rehabilitation
YU 3300 - YU 3399	Ergotherapie
YU 4000 - YU 9099	Alternative Medizin, Naturheilverfahren und neue Strömungen der Medizin
YV	Diagnostik, Labormedizin
YV 1000	Kongresse
YV 1100	Handbücher
YV 1200	Lehrbücher
YV 1300	Atlanten, Bildwerke
YV 1400	Kompendien, Repetitorien, Kurzdarstellungen
YV 1500 - YV 2099	Allgemeine Diagnostik, Labormedizin
YV 3000 - YV 7099	Klinisch-chemische und mikroskopische Diagnostik
ZA - ZE	Agrar- und Forstwissenschaft, Gartenbau, Ernährungs- und Haushaltswissenschaft
ZA 10000 - ZA 39800	Allgemeines
ZA 10000 - ZA 10500	Bibliografien
ZA 10600 - ZA 10900	Wissenschaftliches Arbeiten
ZA 12000	Zeitungen
ZA 16000	Zeitschriften, Jahrbücher
ZA 16800	Verzeichnisse von Hochschulen, Universitäten, Akademien, Forschungsgesellschaften, Verzeichnisse von Behörden und anderen Einrichtungen
ZA 18000	Veröffentlichungen von Gesellschaften, Vereinen
ZA 20000	Serien, Schriftenreihen
ZA 25000	Kongresse, Symposien, Tagungen
ZA 30000 - ZA 30500	Festschriften
ZA 31000	Aufsatzsammlungen
ZA 31700	Gesammelte Werke einzelner Verfasser
ZA 38000	Museen, Ausstellungen, Archive, Bibliotheken
ZA 38400	Adressenverzeichnisse
ZA 38600	Abkürzungsverzeichnisse
ZA 38700	Fachwörterbücher
ZA 39000	Fachlexika
ZA 39400	Handbücher, Lehrbücher
ZA 39800	Gesamtdarstellungen
ZA 50000 - ZA 58000	Agrarökologie
ZA 50000 - ZA 50099	Allgemeines
ZA 50100 - ZA 50199	Kongresse, Symposien, Tagungen
ZA 50200	Serien, Schriftenreihen
ZA 50500	Gesamtdarstellungen, Lehrbücher, Nachschlagewerke
ZA 50900 - ZA 51299	Ökologie allgemein
ZA 52000 - ZA 52099	Entwicklung der Kulturlandschaft
ZA 53000 - ZA 53099	Naturschutz / Landschaftspflege
ZA 54000 - ZA 55399	Agrarökosysteme
ZA 56000 - ZA 56099	Agroforstwirtschaft
ZA 57000 - ZA 57699	Agrarwirtschaft und Umwelt
ZA 58000	Ökologie der Tropen und Subtropen
ZA 60000 - ZA 66000	Anwendung mathematischer Methoden in den Agrarwissenschaften
ZA 60000	Allgemeines
ZA 60100 - ZA 60199	Kongresse, Symphosien, Tagungen
ZA 60200	Serien, Schriftenreihen
ZA 61000	Mathematische Statistik
ZA 62000	Biometrie
ZA 62100	Landwirtschaftliches Versuchswesen
ZA 62200	Quantitative Genetik (Populationsgenetik)
ZA 62300	Populationsdynamik
ZA 62400	Epidemiologische Arbeitsmethoden
ZA 63000	Geostatistik
ZA 63100	Environmetics (Umweltstatistik, Ökologische Statistik)
ZA 64000	Biomathematische Modellierung
ZA 65000	Ökonometrie
ZA 66000	Operations Research
ZA 70000 - ZA 76000	Agrarinformatik
ZA 70000	Allgemeines
ZA 70100 - ZA 70199	Kongresse, Symposien, Tagungen
ZA 70200 - ZA 70299	Serien, Schriftenreihen
ZA 71000	Anwendung der IT in den Agrarwissenschaften, allgemeine Grundlagen
ZA 74000	Datenmanagement, Informationsmanagement
ZA 75000	Datenbanken
ZA 76000	Programme/ Software
ZA 80000 - ZA 98500	Agrargeschichte und -geografie
ZA 80000 - ZA 87000	Agrargeschichte
ZA 90000 - ZA 98500	Agrargeografie
ZB 10000 - ZB 17000	Agrarwissenschaftliche Ausbildung
ZB 10000 - ZB 10099	Ausbildung allgemein
ZB 10300	Gesamtdarstellungen, Lehrbücher, Nachschlagewerke
ZB 10500	Schulunterricht
ZB 11000	Berufsausbildung
ZB 12000	Fachschulen
ZB 12500	Hochschulen
ZB 13000	Universitäten
ZB 14000	Fachdidaktik und Unterrichtsmethoden
ZB 15000	Berufsbilder
ZB 15500	Berufsbildungsforschung
ZB 15600	Arbeitsmarktforschung
ZB 17000	Berufliche Weiterbildung
ZB 20000 - ZB 29000	Agrarwissenschaftliche Forschung
ZB 20000 - ZB 20099	Allgemeines
ZB 20100 - ZB 20199	Kongresse, Symposien
ZB 20200	Serien, Schriftenreihen
ZB 20300	Gesamtdarstellungen, Lehrbücher, Nachschlagewerke
ZB 21000 - ZB 21099	Forschungseinrichtungen
ZB 27000 - ZB 27400	Forschungspolitik
ZB 28000	Ethik und Forschung in der Landwirtschaft
ZB 29000	Zukunftsforschung
ZB 30000 - ZB 49900	Agrarverwaltung und -recht
ZB 30000 - ZB 39000	Verwaltung und Organisation
ZB 40000 - ZB 49900	Agrarrecht
ZB 50000 - ZB 95999	Wirtschafts- und Sozialwissenschaften
ZB 50000 - ZB 50099	Allgemeines
ZB 50100 - ZB 50199	Kongresse, Symposien, Tagungen
ZB 50200	Serien,Schriftenreihen
ZB 50300	Gesamtdarstellungen,Lehrbücher, Nachschlagewerke
ZB 51000 - ZB 54900	Land- und Agrarsoziologie
ZB 55000 - ZB 95999	Agrarökonomie
ZC 10000 - ZC 39000	Allgemeiner Pflanzenbau
ZC 10000 - ZC 10099	Allgemeines
ZC 10100 - ZC 10199	Kongresse, Symposien, Tagungen
ZC 10200	Serien, Schriftenreihen
ZC 10300	Gesamtdarstellungen, Lehrbücher, Nachschlagewerke
ZC 10700	Grundlagen des Pflanzenbaus
ZC 11000 - ZC 11800	Agrarmeteorologie, Klimatologie
ZC 12000 - ZC 16700	Bodenkunde
ZC 17000 - ZC 19540	Pflanzenernährung und Düngung
ZC 20000 - ZC 22600	Pflanzenbau
ZC 23000 - ZC 24800	Pflanzenzüchtung
ZC 25000 - ZC 27900	Pflanzenschäden; Pflanzenkrankheiten
ZC 28000 - ZC 29700	Pflanzenschutz
ZC 30000 - ZC 39000	Spezieller Pflanzenbau
ZC 50000 - ZC 69900	Garten-, Obst- und Weinbau
ZC 50000 - ZC 53900	Gartenbau
ZC 54000 - ZC 57000	Obstbau
ZC 58000 - ZC 58800	Weinbau
ZC 60000 - ZC 63000	Gemüsebau
ZC 65000 - ZC 68900	Zierpflanzenbau
ZC 69000 - ZC 69900	Baumschulwesen
ZC 70000 - ZC 88699	Forstwesen
ZC 70000	Forstwesen - Allgemeines
ZC 70050	Forstliche Bibliografien
ZC 70070	Biografien bedeutender Persönlichkeiten
ZC 70080	Festschriften für Institutionen
ZC 71000	Kongresse, Kongressberichte, Symposien
ZC 71100	Serien/Schriftenreihen
ZC 71200	Gesamtdarstellungen, Lehrbücher, Nachschlagewerke
ZC 71210	Fachwörterbücher einsprachig
ZC 71220	Fachwörterbücher mehrsprachig
ZC 71230	Adressbücher, Verzeichnisse
ZC 72000	Natürliche Grundlagen, Standort
ZC 72200 - ZC 72260	Forstmeteorologie, Klimatologie
ZC 72400	Forstliche Bodenkunde
ZC 72420	Forstliche Standorterkundung
ZC 72440	Forstliche Standortkartierung
ZC 72460	Forstliche Düngungsversuche
ZC 72800 - ZC 72950	Forstökologie
ZC 73000 - ZC 73099	Forstgeografie
ZC 73200	Vegetations- und Waldgeschichte
ZC 73250	Potentiell natürliche Vegetation/Bewaldung
ZC 73300	Biodiversität
ZC 73400	Forstreserven, Urwälder
ZC 73500 - ZC 73599	Forstwirtschaft einzelner Länder/Gebiete
ZC 73800 - ZC 73950	Tropische Forstwirtschaft
ZC 74000 - ZC 74180	Waldbau
ZC 74190 - ZC 74194	Schutzwälder
ZC 74200 - ZC 74315	Forstbotanik
ZC 74320 - ZC 74350	Holz und Rinde - Grundlagen
ZC 74400 - ZC 74499	Baumkunde, Holzarten, Dendrologie
ZC 75400	Bodenkultur
ZC 75600	Forstliche Versuchsanstalten und -stationen
ZC 75620	Forstliches Versuchswesen
ZC 76000	Verbindung von Forst- und Landwirtschaft
ZC 76200	Waldparzelle
ZC 76400	Waldweide, -streu
